user_id,day_of_week_pst,categorized_created_at_pst,total_posts,followers,followings,likes_count,comments_count,video_view_count,video_duration,day_time_group,EPF,log_EPF
1018828,2,Afternoon,210.0,1030.0,913.0,22.5,1.5,216.0,49.849500000000006,2_Afternoon,23.300970873786408,3.1905163032021386
1018828,2,Evening,210.0,1030.0,913.0,16.0,2.5,102.0,35.218,2_Evening,17.961165048543688,2.942392942647043
1018828,3,Morning,210.0,1030.0,913.0,13.0,1.0,65.0,39.133,3_Morning,13.592233009708737,2.6804894015233387
1018828,3,Afternoon,210.0,1030.0,913.0,14.0,1.5,356.5,21.5665,3_Afternoon,15.048543689320388,2.7756181095913885
1018828,3,Evening,210.0,1030.0,913.0,15.0,2.0,213.0,30.433,3_Evening,16.50485436893204,2.8624782349736817
1018828,4,Morning,210.0,1030.0,913.0,4.0,0.0,45.0,72.033,4_Morning,3.883495145631068,1.5858611818701034
1018828,4,Afternoon,210.0,1030.0,913.0,14.666666666666666,1.1666666666666667,120.66666666666667,38.56633333333333,4_Afternoon,15.372168284789643,2.7955828373941904
1018828,4,Evening,210.0,1030.0,913.0,19.0,2.0,171.0,38.483000000000004,4_Evening,20.388349514563107,3.0628463585727075
1018828,5,Morning,210.0,1030.0,913.0,18.0,0.5,123.0,40.7495,5_Morning,17.961165048543688,2.942392942647043
1018828,5,Evening,210.0,1030.0,913.0,16.0,1.0,68.0,22.4,5_Evening,16.50485436893204,2.8624782349736817
1018828,6,Afternoon,210.0,1030.0,913.0,12.666666666666666,0.6666666666666666,136.33333333333334,33.522,6_Afternoon,12.944983818770226,2.6351198607180923
1018828,6,Evening,210.0,1030.0,913.0,19.0,2.0,308.0,47.366,6_Evening,20.388349514563107,3.0628463585727075
1018828,7,Afternoon,210.0,1030.0,913.0,10.0,1.0,217.0,34.633,7_Afternoon,10.679611650485437,2.457844727745043
1018828,7,Evening,210.0,1030.0,913.0,42.0,1.0,287.0,19.366,7_Evening,41.74757281553398,3.755312417526118
1018936,1,Afternoon,192.0,180.0,312.0,0.0,0.0,14.0,7.2,1_Afternoon,0.0,0.0
1018936,2,Morning,192.0,180.0,312.0,1.3333333333333333,0.0,25.666666666666668,22.01133333333333,2_Morning,7.4074074074074066,2.1291131514770734
1018936,2,Afternoon,192.0,180.0,312.0,39.2,0.2,328.8,18.4132,2_Afternoon,218.8888888888889,5.393122368266346
1018936,4,Morning,192.0,180.0,312.0,13.0,0.0,114.0,60.066,4_Morning,72.22222222222221,4.293498957166288
1018936,4,Afternoon,192.0,180.0,312.0,3.5,0.0,27.0,32.433,4_Afternoon,19.444444444444446,3.0177111802727663
1018936,4,Evening,192.0,180.0,312.0,3.0,0.0,46.0,10.378,4_Evening,16.666666666666668,2.8716796248840124
1018936,5,Afternoon,192.0,180.0,312.0,3.0,0.0,26.0,21.1,5_Afternoon,16.666666666666668,2.8716796248840124
1018936,5,Evening,192.0,180.0,312.0,3.0,2.0,30.0,36.5,5_Evening,27.777777777777775,3.3596034843633182
1018936,6,Morning,192.0,180.0,312.0,4.0,0.0,31.0,60.066,6_Morning,22.22222222222222,3.145109674628592
1018936,7,Morning,192.0,180.0,312.0,1.0,0.0,20.0,8.633,7_Morning,5.555555555555555,1.8803128665695001
1018936,7,Afternoon,192.0,180.0,312.0,4.666666666666667,0.3333333333333333,43.666666666666664,22.534333333333336,7_Afternoon,27.777777777777775,3.3596034843633182
1018938,1,Morning,398.0,158.0,41.0,0.0,0.0,19.0,21.466,1_Morning,0.0,0.0
1018938,1,Afternoon,398.0,158.0,41.0,0.0,0.0,18.0,6.0,1_Afternoon,0.0,0.0
1018938,2,Morning,398.0,158.0,41.0,0.2857142857142857,0.0,16.285714285714285,20.190142857142856,2_Morning,1.8083182640144664,1.0325858216263522
1018938,2,Afternoon,398.0,158.0,41.0,0.0,0.0,16.0,60.0,2_Afternoon,0.0,0.0
1018938,2,Evening,398.0,158.0,41.0,2.0,1.0,33.0,29.466,2_Evening,18.9873417721519,2.9950991617886205
1018938,3,Morning,398.0,158.0,41.0,0.0,0.0,16.5,9.183,3_Morning,0.0,0.0
1018938,4,Morning,398.0,158.0,41.0,0.0,0.0,20.333333333333332,21.666666666666668,4_Morning,0.0,0.0
1018938,4,Afternoon,398.0,158.0,41.0,0.0,0.0,11.0,30.6,4_Afternoon,0.0,0.0
1018938,5,Afternoon,398.0,158.0,41.0,0.0,0.0,18.5,5.9,5_Afternoon,0.0,0.0
1019078,4,Afternoon,58.0,115.0,82.0,2.0,0.0,46.0,52.395,4_Afternoon,17.391304347826086,2.9118779631171283
1019087,1,Morning,369.0,1557.0,1687.0,16.666666666666668,1.6666666666666667,948.0,47.199666666666666,1_Morning,11.77478056090773,2.5474729587138802
1019087,1,Afternoon,369.0,1557.0,1687.0,20.5,0.5,737.0,56.284,1_Afternoon,13.48747591522158,2.6732845462121384
1019087,2,Afternoon,369.0,1557.0,1687.0,32.333333333333336,1.0,798.6666666666666,40.85566666666667,2_Afternoon,21.408691928923144,3.109448916137049
1019087,3,Morning,369.0,1557.0,1687.0,12.0,1.0,778.0,60.001,3_Morning,8.349389852280027,2.2353110847306628
1019087,3,Afternoon,369.0,1557.0,1687.0,14.4,1.2,851.4,43.4872,3_Afternoon,10.01926782273603,2.3996453607494272
1019087,4,Afternoon,369.0,1557.0,1687.0,16.8,0.4,833.0,50.2868,4_Afternoon,11.046885035324342,2.488806123226343
1019087,4,Evening,369.0,1557.0,1687.0,17.0,2.0,815.0,53.833,4_Evening,12.202954399486192,2.5804406226916745
1019087,5,Morning,369.0,1557.0,1687.0,14.0,0.0,859.0,57.235,5_Morning,8.991650610147719,2.301749805253123
1019087,5,Afternoon,369.0,1557.0,1687.0,9.0,0.0,852.0,60.001,5_Afternoon,5.780346820809248,1.9140282541556963
1019087,6,Morning,369.0,1557.0,1687.0,15.0,0.0,937.0,40.5,6_Morning,9.633911368015413,2.3640480802736126
1019087,7,Afternoon,369.0,1557.0,1687.0,20.0,2.0,811.0,53.001,7_Afternoon,14.129736673089274,2.716662123358608
1019105,1,Morning,230.0,408.0,290.0,4.0,2.0,95.0,10.233,1_Morning,14.705882352941176,2.7540353143440335
1019105,1,Afternoon,230.0,408.0,290.0,15.5,1.0,221.5,11.65,1_Afternoon,40.44117647058824,3.724274987282519
1019105,2,Morning,230.0,408.0,290.0,18.0,1.5,276.0,19.766,2_Morning,47.79411764705882,3.887609765574283
1019105,2,Afternoon,230.0,408.0,290.0,6.0,1.0,418.0,7.7,2_Afternoon,17.156862745098042,2.8990486019218538
1019105,3,Morning,230.0,408.0,290.0,8.714285714285714,0.0,167.85714285714286,31.195,3_Morning,21.358543417366946,3.1072085038290402
1019105,3,Afternoon,230.0,408.0,290.0,1.0,0.0,93.0,30.0,3_Afternoon,2.450980392156863,1.238658362313826
1019105,4,Morning,230.0,408.0,290.0,11.5,0.0,157.0,10.8,4_Morning,28.186274509803923,3.3736985477315056
1019105,4,Afternoon,230.0,408.0,290.0,6.0,0.5,128.0,11.233,4_Afternoon,15.931372549019606,2.8291682648624072
1019105,5,Morning,230.0,408.0,290.0,3.0,0.0,87.0,15.733,5_Morning,7.352941176470588,2.1226137135450447
1019105,5,Evening,230.0,408.0,290.0,20.0,5.0,1046.0,32.033,5_Evening,61.27450980392157,4.131552189642701
1019105,6,Morning,230.0,408.0,290.0,9.0,0.0,129.0,30.2,6_Morning,22.058823529411764,3.1380484957342465
1019105,6,Evening,230.0,408.0,290.0,6.0,0.0,253.0,23.8,6_Evening,14.705882352941176,2.7540353143440335
1019110,3,Morning,93.0,509.0,608.0,6.0,0.0,280.0,4.9,3_Morning,11.787819253438114,2.5484930970218644
1019110,4,Evening,93.0,509.0,608.0,21.0,1.5,314.5,5.3495,4_Evening,44.20432220039293,3.81119270616901
1019110,5,Evening,93.0,509.0,608.0,14.0,5.0,229.0,2.9,5_Evening,37.32809430255403,3.6461831599867387
1019113,1,Morning,506.0,519.0,436.0,23.5,4.5,244.5,34.6995,1_Morning,53.94990366088632,4.006421927634014
1019113,3,Afternoon,506.0,519.0,436.0,4.0,0.0,38.0,30.233,3_Afternoon,7.707129094412331,2.164142126245391
1019113,4,Morning,506.0,519.0,436.0,9.0,2.0,55.0,29.433,4_Morning,21.19460500963391,3.0998492417606176
1019113,4,Evening,506.0,519.0,436.0,7.0,0.0,55.0,33.766,4_Evening,13.48747591522158,2.6732845462121384
1019113,5,Morning,506.0,519.0,436.0,12.6,0.4,308.0,49.9728,5_Morning,25.048169556840076,3.2599474991985167
1019113,5,Afternoon,506.0,519.0,436.0,11.466666666666667,1.1333333333333333,286.26666666666665,54.712466666666664,5_Afternoon,24.277456647398843,3.2299129569151415
1019113,6,Morning,506.0,519.0,436.0,2.0,0.0,66.0,56.066,6_Morning,3.8535645472061657,1.5797133931867215
1019113,6,Afternoon,506.0,519.0,436.0,15.0,2.0,139.5,28.0,6_Afternoon,32.75529865125241,3.5191374020699335
1019113,7,Morning,506.0,519.0,436.0,5.5,0.0,64.0,16.3495,7_Morning,10.597302504816955,2.450772528381882
1019113,7,Evening,506.0,519.0,436.0,23.0,1.0,294.0,12.573,7_Evening,46.24277456647398,3.8552997230183506
1019146,1,Morning,881.0,349.0,56.0,2.5,0.5,122.5,6.933,1_Morning,8.595988538681949,2.2613451505917777
1019146,1,Afternoon,881.0,349.0,56.0,3.5,0.0,124.0,7.0,1_Afternoon,10.02865329512894,2.400496731081319
1019146,1,Evening,881.0,349.0,56.0,4.2,0.0,106.2,17.3284,1_Evening,12.034383954154729,2.567590785367577
1019146,2,Afternoon,881.0,349.0,56.0,2.5,0.0,108.0,34.516,2_Afternoon,7.163323782234958,2.099651412295481
1019146,2,Evening,881.0,349.0,56.0,7.0,0.0,18.0,60.633,2_Evening,20.05730659025788,3.047247606326444
1019146,3,Morning,881.0,349.0,56.0,4.0,0.0,490.0,8.0,3_Morning,11.461318051575931,2.522629290395211
1019146,3,Afternoon,881.0,349.0,56.0,4.333333333333333,0.0,57.333333333333336,59.633,3_Afternoon,12.416427889207258,2.596479917960373
1019146,3,Evening,881.0,349.0,56.0,7.0,0.5,18.0,59.283,3_Evening,21.48997134670487,3.1130694919243864
1019146,4,Evening,881.0,349.0,56.0,5.0,0.0,13.0,58.5,4_Evening,14.326647564469916,2.729592984328823
1019146,6,Afternoon,881.0,349.0,56.0,3.5,0.5,191.5,7.533,6_Afternoon,11.461318051575931,2.522629290395211
1019146,6,Evening,881.0,349.0,56.0,5.0,0.0,60.0,5.0,6_Evening,14.326647564469916,2.729592984328823
1019146,7,Morning,881.0,349.0,56.0,1.3333333333333333,0.0,82.66666666666667,6.255333333333333,7_Morning,3.8204393505253105,1.5728650754697255
1019146,7,Afternoon,881.0,349.0,56.0,2.5,0.0,201.25,6.68375,7_Afternoon,7.163323782234958,2.099651412295481
1019146,7,Evening,881.0,349.0,56.0,3.0,0.0,202.0,7.0,7_Evening,8.595988538681949,2.2613451505917777
1019208,1,Morning,232.0,3997.0,915.0,115.0,10.666666666666666,2659.3333333333335,27.078666666666667,1_Morning,31.44024685180552,3.4793998387067164
