user_id,day_of_week_pst,categorized_created_at_pst,total_posts,followers,followings,likes_count,comments_count,video_view_count,video_duration,day_time_group,EPF,log_EPF,predicted,residuals
1018408,1,Afternoon,742.0,984.0,643.0,9.0,0.0,492.0,58.933,1_Afternoon,9.146341463414634,2.3171131935569553,2.7084826153549177,-0.3913694217979624
1018408,2,Morning,742.0,984.0,643.0,10.666666666666666,0.2222222222222222,238.0,60.07922222222222,2_Morning,11.06594399277326,2.4903869382684682,2.675141168332358,-0.18475423006388958
1018408,2,Afternoon,742.0,984.0,643.0,4.333333333333333,0.0,323.3333333333333,60.38933333333333,2_Afternoon,4.403794037940379,1.6871013064812566,2.7287992461746096,-1.041697939693353
1018408,3,Morning,742.0,984.0,643.0,5.0,0.0,83.0,59.1,3_Morning,5.08130081300813,1.8052186226020597,2.659891507992874,-0.8546728853908143
1018408,3,Afternoon,742.0,984.0,643.0,9.5,0.25,281.75,60.176500000000004,3_Afternoon,9.908536585365853,2.389545655684521,2.742774164075303,-0.353228508390782
1018408,4,Morning,742.0,984.0,643.0,3.0,0.0,47.0,59.1,4_Morning,3.048780487804878,1.3984157216522355,2.6688402518291965,-1.270424530176961
1018408,4,Afternoon,742.0,984.0,643.0,6.75,0.0,361.75,55.10275,4_Afternoon,6.859756097560975,2.0617555751149887,2.7053386100462546,-0.6435830349312659
1018408,4,Evening,742.0,984.0,643.0,8.0,0.0,335.0,61.533,4_Evening,8.130081300813009,2.211574599366026,2.813323653826726,-0.6017490544607003
1018408,5,Morning,742.0,984.0,643.0,3.0,0.0,68.0,59.1,5_Morning,3.048780487804878,1.3984157216522355,2.746290695982927,-1.3478749743306915
1018408,5,Afternoon,742.0,984.0,643.0,9.333333333333334,0.0,414.6666666666667,55.81733333333333,5_Afternoon,9.48509485094851,2.349954710659986,2.757320238792932,-0.40736552813294624
1018468,1,Morning,716.0,617.0,417.0,8.5,0.0,170.0,44.9965,1_Morning,13.776337115072934,2.693027057679515,2.6369585772626256,0.056068480416889166
1018468,1,Afternoon,716.0,617.0,417.0,15.0,1.0,554.6666666666666,15.322000000000001,1_Afternoon,25.93192868719611,3.2933125227958255,2.7084826153549177,0.5848299074409078
1018468,3,Morning,716.0,617.0,417.0,5.0,0.0,386.5,49.5,3_Morning,8.103727714748784,2.208683968627045,2.659891507992874,-0.451207539365829
1018468,4,Morning,716.0,617.0,417.0,9.5,1.0,547.0,11.016,4_Morning,17.017828200972446,2.891361723328227,2.6688402518291965,0.22252147149903045
1018468,4,Afternoon,716.0,617.0,417.0,9.333333333333334,0.3333333333333333,416.6666666666667,14.305333333333335,4_Afternoon,15.667206915180985,2.8134431311455437,2.7053386100462546,0.10810452109928903
1018468,5,Morning,716.0,617.0,417.0,12.0,0.5,318.5,59.4415,5_Morning,20.25931928687196,3.0567953539097577,2.746290695982927,0.3105046579268307
1018468,5,Afternoon,716.0,617.0,417.0,9.0,0.0,198.66666666666666,69.24433333333333,5_Afternoon,14.586709886547812,2.746418620807094,2.757320238792932,-0.010901617985838108
1018797,1,Morning,1580.0,4327.0,1309.0,12.0,1.0,174.0,29.133,1_Morning,3.0043910330483015,1.3873915172859619,2.6369585772626256,-1.2495670599766637
1018797,1,Afternoon,1580.0,4327.0,1309.0,14.333333333333334,0.3333333333333333,110.66666666666667,31.788666666666668,1_Afternoon,3.389569370618597,1.4792311290224551,2.7084826153549177,-1.2292514863324626
1018797,2,Morning,1580.0,4327.0,1309.0,9.5,0.0,132.0,40.5995,2_Morning,2.195516524150682,1.1617487411637333,2.675141168332358,-1.5133924271686245
1018797,2,Afternoon,1580.0,4327.0,1309.0,5.2,0.0,106.0,44.425599999999996,2_Afternoon,1.2017564132193206,0.7892554114818946,2.7287992461746096,-1.939543834692715
1018797,3,Morning,1580.0,4327.0,1309.0,10.0,0.0,92.0,55.066500000000005,3_Morning,2.3110700254217704,1.1972714076684876,2.659891507992874,-1.4626201003243864
1018797,3,Afternoon,1580.0,4327.0,1309.0,16.5,2.5,332.5,33.1355,3_Afternoon,4.391033048301364,1.6847370267236714,2.742774164075303,-1.0580371373516315
1018797,3,Evening,1580.0,4327.0,1309.0,7.0,0.0,98.0,76.043,3_Evening,1.6177490177952392,0.9623147949758288,2.8891194544085805,-1.9268046594327517
1018797,4,Morning,1580.0,4327.0,1309.0,10.0,0.0,103.33333333333333,41.077666666666666,4_Morning,2.3110700254217704,1.1972714076684876,2.6688402518291965,-1.4715688441607089
1018797,4,Evening,1580.0,4327.0,1309.0,17.0,1.0,136.0,54.7,4_Evening,4.159926045759187,1.6409222471735523,2.813323653826726,-1.1724014066531738
1018797,5,Morning,1580.0,4327.0,1309.0,12.4,0.4,87.4,37.4798,5_Morning,2.958169632539866,1.375781704407484,2.746290695982927,-1.370508991575443
1018797,5,Afternoon,1580.0,4327.0,1309.0,5.0,1.0,160.0,24.8,5_Afternoon,1.3866420152530623,0.8698873634465193,2.757320238792932,-1.8874328753464127
1018797,5,Evening,1580.0,4327.0,1309.0,7.5,0.5,138.5,41.4165,5_Evening,1.8488560203374163,1.0469175173266347,2.8492847143368136,-1.802367197010179
1018803,1,Afternoon,86.0,456.0,2364.0,6.0,1.0,66.0,4.966,1_Afternoon,15.350877192982455,2.794281546851041,2.7084826153549177,0.08579893149612339
1018803,6,Morning,86.0,456.0,2364.0,12.0,0.0,221.0,5.4,6_Morning,26.31578947368421,3.307464903999448,2.7590706077145097,0.5483942962849384
